0 "undeclared identifier"
1 "multiply defined identifier"
2 "illegal character in number"
3 "illegal character in string"
4 "identifier does not match procedure name"
5 "comment not closed"
11 '"=" expected'
12 "type definition starts with incorrect symbol"
13 "factor starts with incorrect symbol"
14 "statement starts with incorrect symbol"
15 "declaration followed by incorrect symbol"
16 "MODULE expected"
20 '"." missing'
21 '"," missing'
22 '":" missing'
24 '")" missing'
25 '"]" missing'
26 '"}" missing'
27 "OF missing"
28 "THEN missing"
29 "DO missing"
30 "TO missing"
32 '"(" missing'
33 "CONST, TYPE, VAR, PROCEDURE, BEGIN, or END missing"
34 "PROCEDURE, BEGIN, or END missing"
35 '"," or OF expected'
36 '":=" missing'
39 "this is not a VAR-parameter"
40 "identifier expected"
41 '";" missing'
42 '"@" missing'
43 "END missing"
46 "UNTIL missing"
47 "EXIT not within loop statement"
48 "illegally marked identifier"
49 "incorrect use of RETURN"
50 "expression should be constant"
51 "constant not an integer"
52 "identifier does not denote a type"
53 "identifier does not denote a record type"
54 "result type of procedure is not a basic type"
55 "procedure call of a function"
56 "assignment to non-variable"
57 "pointer not bound to record type"
58 "recursive type definition"
59 "illegal open array parameter"
60 "wrong type of case label"
61 "inadmissible type of case label"
62 "case label defined more than once"
63 "illegal value of constant"
64 "more actual than formal parameters"
65 "fewer actual than formal parameters"
66 "element types of actual array and formal open array differ"
67 "actual parameter corresponding to open array is not an array"
68 "control variable must be integer"
69 "parameter must be an integer constant"
70 "pointer or VAR / IN record required as formal receiver"
71 "pointer expected as actual receiver"
72 "procedure must be bound to a record of the same scope"
73 "procedure must have level 0"
74 "procedure unknown in base type"
75 "invalid call of base procedure"
76 "this variable (field) is read only"
77 "object is not a record"
78 "dereferenced object is not a variable"
79 "indexed object is not a variable"
80 "index expression is not an integer"
81 "index out of specified bounds"
82 "indexed variable is not an array"
83 "undefined record field"
84 "dereferenced variable is not a pointer"
85 "guard or test type is not an extension of variable type"
86 "guard or test type is not a pointer"
87 "guarded or tested variable is neither a pointer nor a VAR- or IN-parameter record"
88 "open array not allowed as variable, record field or array element"
90 "dereferenced variable is not a character array"
91 "control variable must be local"
92 "operand of IN not an integer, or not a set"
93 "set element type is not an integer"
